ObsID,National_Station_Identifier,StationName,Provider ID,Country code,StationLon,StationLat,Height,DrainingArea.km2.Provider,River,Catchment,EC_Catchments,Calibration ID,DrainingArea.km2.LDD,LisfloodX,LisfloodY,RealTime,PostProcess,FixedRepPoint,LSFCalib,HasWL,HasD,Alive,HasRTWL,HasRTD,HasHWL,HasHD,Exclude,EC_calib,CAL_TYPE,ModelFile,MdlStep,version__origin__name,version__version,station_id,drainage_area,lon_provided,lat_provided,drainage_area_provided,to_calibrate,valid_for_origin,legend,comments
67,23300320,Breisach,1004,DE,7.572627,48.043177,191.85,37575,Rhine,Rhine,Rhine,-,37608.1,7.575,48.04167,FALSE,FALSE,TRUE,TRUE,1,0,1,1,1,1,1,0,1,6,ID_67.pickle,6,EFAS,17,67,,,,,,,,
68,23300130,Rheinweiler,1004,DE,7.529335,47.711025,217.24,36649,Rhine,Rhine,Rhine,-,36937.9,7.525,47.70833,FALSE,FALSE,FALSE,FALSE,1,1,1,1,1,1,1,1,0,,ID_68.pickle,6,EFAS,17,68,,,,,,,,
69,566100,Erlln,1007,DE,12.81337371,51.15516811,133.03,2983,Freiberger Mulde,Elbe,Elbe,-,2995.6,12.80833,51.15833,FALSE,FALSE,TRUE,FALSE,0,0,0,1,1,1,1,0,0,,ID_69.pickle,6,EFAS,17,69,,,,,,,,
71,567470,Kriebstein UP,1007,DE,13.02156971,51.05516745,182.84,1757,Zschopau,Elbe,Elbe,-,1766.7,13.025,51.05833,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_71.pickle,6,EFAS,17,71,,,,,,,,
73,562070,Zwickau-Poelbitz,1007,DE,12.49359541,50.7409214,255.21,1030,Zwickauer Mulde,Elbe,Elbe,-,1034,12.49167,50.74167,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_73.pickle,6,EFAS,17,73,,,,,,,,
74,562090,Wolkenburg,1007,DE,12.67139397,50.90146394,207.78,1416.38,Zwickauer Mulde,Elbe,Elbe,-,1445.7,12.675,50.90833,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_74.pickle,6,EFAS,17,74,,,,,,,,
75,562115,Wechselburg 1,1007,DE,12.77253543,51.00684793,159.72,2107,Zwickauer Mulde,Elbe,Elbe,-,2094.7,12.775,51.00833,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_75.pickle,6,EFAS,17,75,,,,,,,,
76,501110,Riesa,1007,DE,13.29327553,51.31149006,88.03,54485,Elbe,Elbe,Elbe,-,54448.5,13.29167,51.30833,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_76.pickle,6,EFAS,17,76,,,,,,,,
77,501160,Muehlberg,1004,DE,13.19092484,51.43742696,81.68,55030,Elbe,Elbe,Elbe,-,54954.8,13.19167,51.44167,FALSE,FALSE,TRUE,FALSE,1,0,1,1,0,1,1,0,0,,ID_77.pickle,24,EFAS,17,77,,,,,,,,
78,501261,Torgau,1007,DE,13.01012014,51.55371282,75.18,55211,Elbe,Elbe,Elbe,C163,55482.8,13.00833,51.55833,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_78.pickle,6,EFAS,17,78,,,,,,,,
79,567451,Lichtenwalde 1,1007,DE,13.02001517,50.88619146,251.91,1575,Zschopau,Elbe,Elbe,-,1567,13.025,50.89167,TRUE,TRUE,TRUE,TRUE,1,1,1,1,1,1,1,0,1,6,ID_79.pickle,6,EFAS,17,79,,,,,,,,
